text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
text mary,0.014993866,0.8718970659500241,0.4117647058823529,0.0,0.0011144669260829,0.0009296622010879,0.0003183201770298,False
last time i checked,0.017076347,0.9995860663273272,0.4117647058823529,0.0,0.0007324980688281,0.0008049906464293,0.0004612216725945,False
"yes, i identify as african american",0.043375164,0.0181531732823578,0.4117647058823529,0.0,0.0008051194017753,0.0376838445663452,0.0024858189281076,False
"nineteen ninetytwo s seven outside of here within those seven years puh, um, philly, jersey, um, i spent a couple months in florida",0.09602194,0.0831349180861087,0.4411764705882353,0.0,0.009317448362708,0.000481333292555,0.0006306205177679,False
mm,0.033246122,0.1479328546410569,0.4117647058823529,0.0,0.0010840946342796,0.0008179078577086,0.0005002457182854,False
not really nowhere major,0.018325835,0.9973640639345116,0.4227941176470588,0.0,0.000787929049693,0.0007492000586353,0.0003909331862814,False
"i spent like two weeks in baltimore, you know, regular shit, uh, one year of college",0.7257758,0.9999236392519162,0.4705882352941177,0.179,0.8807649612426758,0.9271248579025269,0.9319982528686525,True
it really didn't work out too well,0.05093802,0.9998662047626276,0.2941176470588235,0.0,0.0007780637824907,0.0003461625019554,0.0003842267033178,False
"honestly, i'm a hustler",0.2299237,0.0016704286207475,0.0588235294117646,0.0,0.008040658198297,0.1373923122882843,0.1567620038986206,False
i really don't have an occupation,0.047495455,0.995142150957092,0.2941176470588235,0.0,0.0013077864423394,0.0007099250797182,0.0004531479207798,False
"when you got two kids, you really can't have a set occupation",0.089041,0.8135056828998033,0.2941176470588235,0.0,0.0398162119090557,0.0024788656737655,0.0004340053419582,False
"so whatever what i want to do, though i'm tryna become a nurse",0.11407687,0.1558703785540869,0.4117647058823529,0.0,0.0042168912477791,0.0022581459488719,0.001112091820687,False
that's pretty much what i wanna do,0.103539884,0.0014903162083079,0.2794117647058823,0.0,0.0008085395675152,0.0006813142681494,0.0009079224546439,False
but my mother and my father were both born and raised in new jersey,0.019575324,0.2003994543395661,0.3315508021390374,0.0,0.000845497532282,0.0010423805797472,0.0004557931388262,False
my mother has her master's in psychology and my father is a scam artist,0.42234805,0.9977057499673112,0.4117647058823529,0.222,0.0726615712046623,0.6862146854400635,0.5824283361434937,False
imagine growing up with it,0.04818217,0.0024967759043629,0.4117647058823529,0.0,0.0043944576755166,0.0004090307920705,0.0006108781672082,False
alright,0.02193547,0.8110092944621559,0.4117647058823529,0.0,0.0009303102851845,0.0006368976901285,0.0004780151648446,False
"how much time you got? uh, yeah, it's it's a big",0.1019289,0.0652782760616297,0.3529411764705882,0.0,0.0009400123381055,0.0008083955617621,0.0263324379920959,False
"it's a big culture shock, especially when you, when you were born and raised and you grew up a certain way and then you come to somewhere where it's the complete opposite",0.06652113,0.8489778434311978,0.3747899159663865,0.075,0.0199260469526052,0.0007993543404154,0.0008104892913252,False
"yeah, it's definitely a culture shock, but mostly positive",0.058130227,0.0098522652004608,0.3449197860962567,0.119,0.000599552411586,0.0003822123107966,0.0004365296917967,False
"you know what i'm saying, so it's definitely the place",0.028954152,0.0005116348952404,0.4117647058823529,0.0,0.0006692047463729,0.0003586350649129,0.0012351666809991,False
"like i said, the the land of opportunity for our people, anyway, for colored people, should i say, not necessarily black, but just people who ain't white",0.5958905,0.0465965385690776,0.3872549019607843,0.0,0.0854023024439811,0.2732142508029938,0.0967511683702468,False
"puerto ricans, mexicans, black people, you know, muslims",0.34388447,0.8541634297051477,0.5098039215686275,0.0,0.6877272129058838,0.4751870334148407,0.3502413034439087,False
all of that,0.03358948,0.009769049272026,0.4117647058823529,0.0,0.00370450806804,0.0003609745472203,0.0009621923672966,False
"no, you said it right the first time racism is a",0.14866976,0.998591975761036,0.2542016806722689,0.291,0.05568478256464,0.0304943341761827,0.0058202855288982,False
it exists,0.017492844,0.0764333235801006,0.4117647058823529,0.0,0.0007922711083665,0.0003513925184961,0.000306461850414,False
"it's very real and i'm black, so i'm naturally the target of it",0.40636617,0.00542316298081,0.3738562091503268,0.0,0.0017291590338572,0.1073158830404281,0.0896984860301017,False
"i'm a black young female, so i had three strikes against me coming out the womb, but it's strikes that i'll that i wear with pride, so it's a it exists",0.28874767,0.0003933979367516,0.4248366013071895,0.139,0.0332518592476844,0.1183142215013504,0.1017407104372978,False
it's real,0.019158829,0.0006021828861376,0.2941176470588235,0.0,0.0009280620724894,0.0003432574740145,0.0005514388321898,False
it's very real here,0.033932835,0.000170664185608,0.2588235294117647,0.0,0.0006921127787791,0.0003130268014501,0.0006706850253976,False
"um, sadly, the shocking part for me, though, even though it is very real in the south, i've experienced less racism here than i have growing up where i grew up",0.15568043,0.1167620813388608,0.4831372549019607,0.245,0.0011254529235884,0.0012153560528531,0.0024561337195336,False
"you feel what i'm saying like growing up where i grew up, different ethnicities were racist against each other",0.22988434,0.9982838205016924,0.4485294117647058,0.165,0.0309014040976762,0.0487757325172424,0.0612847171723842,False
there were chinese people that did not like black people,0.42631236,0.9989977726326834,0.4607843137254901,0.19,0.7997255921363831,0.5682916641235352,0.180782288312912,False
"there are puerto rican people who do not like mexicans, so coming here where it's like no white people don't like colored people",0.46786317,0.8432987437822397,0.4117647058823529,0.23,0.5201499462127686,0.4980500936508178,0.2553794085979461,False
it has nothing to it,0.02929751,0.9999458142700952,0.4117647058823529,0.0,0.0011017055949196,0.0003895089612342,0.0007734081009402,False
"it has everything to do with being black, but it's not just being black",0.31089294,0.0196835773931531,0.5098039215686275,0.0,0.050647810101509,0.3435948193073272,0.2151970416307449,False
it's colored people,0.22687212,0.0528298050365844,0.4117647058823529,0.0,0.037391573190689,0.0033297401387244,0.0284297242760658,False
"people who are not white are not welcome and that's real, and i think once people ch, get over the fact that get over the whole idea of tryna, bring us all together and become one and make us all equal, or make us equal in their eyes",0.50994116,0.2229850680163543,0.4117647058823529,0.05,0.0179984048008918,0.1607623994350433,0.0519043579697608,False
"once we get over that fact, then we'll be able to conquer this whole thing and get past it",0.045091953,0.0005194438398142,0.3235294117647058,0.0,0.0007210939656943,0.0003699777589645,0.0005694675492122,False
"but until then, as long as we're tryna become equal to them, we will always be in a struggle with them",0.09279997,0.9073350101899276,0.426470588235294,0.129,0.0014843654353171,0.0012818956747651,0.0007504962850362,False
"yes, i do",0.01999182,0.0011689572755057,0.4117647058823529,0.0,0.001054226886481,0.0003655032487586,0.000482255447423,False
i have two little sisters and now two little brothers,0.14463188,0.0010225246621819,0.5220588235294118,0.0,0.0015958081930875,0.0020670108497142,0.0014776354655623,False
"i, i am the oldest of everybody",0.059328925,0.0060163149119635,0.4117647058823529,0.0,0.0011985736200585,0.0004483846423681,0.004123764578253,False
very,0.020685982,0.2028956639464218,0.2941176470588235,0.0,0.0030966335907578,0.0003736753715202,0.0005815362674184,False
"yes, m my younger sister, mary that she is my favorite because i've been so involved with her life since the day she was born that she was my kid before my kids was my kids",0.035134587,0.0133036696763988,0.2647058823529412,0.0,0.0009102490148507,0.0015240177744999,0.0005848589353263,False
"shut up, sparky",0.6237118,0.0043917563893037,0.4117647058823529,0.0,0.893123984336853,0.9664970636367798,0.9669952988624572,False
sorry about that,0.023460433,0.9985483112427134,0.7058823529411765,0.394,0.0007103846292011,0.0004317849816288,0.0004918774939142,False
"sorry about that, but yeah, she's been my kid since before my kids were my kids",0.027752401,0.0457677472646414,0.7058823529411765,0.064,0.001628843601793,0.0009263238753192,0.0010497065959498,False
so y,0.027163168,0.9901489270048176,0.4117647058823529,0.0,0.0055514117702841,0.0020654604304581,0.0004389712703414,False
that's m,0.02929751,0.022281005228148,0.4117647058823529,0.0,0.0018907018238678,0.0015742479590699,0.0009974398417398,False
that's my,0.019575324,0.0070527287656392,0.4117647058823529,0.0,0.0028625328559428,0.0005940344999544,0.0009416618268005,False
"that's my heart, but i love all of them just as much, but that's my baby",0.05133759,0.003298265707923,0.2058823529411764,0.0,0.0007610037573613,0.0005553737864829,0.0009754717466421,False
