text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text here, um, southeast washington, dc",0.026894007,0.941595404828952,0.5,0.0,0.0006703569088131,0.0004758883442264,0.0004470213025342,False
"uh, i was actually born and raised in a street off of alabama avenue",0.023803791,0.9272281635731732,0.5,0.0,0.0010182191617786,0.0004317880666349,0.0004869648255407,False
"um, yeah, maybe like eight blocks down, um in park lane",0.036851373,0.9679669838464692,0.5777777777777778,0.13,0.0008534338558092,0.0006942161126062,0.0005482379929162,False
"yes, always on this side",0.026894007,0.0009015346206103,0.5,0.0,0.0010722770821303,0.0004095741023775,0.000420295051299,False
"yes, mission san josé high school high school mission san josé high school, yes, yes, i have a internship at the department of energy photography",0.025520578,0.0018641371918184,0.42,0.0,0.0006199929048307,0.0003731364267878,0.0003313089546281,False
"it's a photography internship, so i'm taking passport pictures and working on um photoshop six, so basically getting comfortable and they're hav",0.035477944,0.0005511315482933,0.3,0.0,0.0006622595828957,0.0004660086124204,0.0005720008630305,False
"they have me shooting with a nikon, uh, b, three hundred, i normally shoot with a cannon, but they're teaching me how to use the nikon, and other than that, um, we have energy meetings, just learning about different forms of energy like coal and the way it's used and solar panels, things of that nature",0.2008281,0.9031558271700104,0.4958333333333333,0.027,0.0008763385703787,0.0019122761441394,0.0090539511293172,False
"uh, i want to be a photographer, and uh, i actually got the internship through miss mary, and she came to um art night and that's a dcps art show that's hosted in um gallery place in the pepco building",0.016104523,0.0339826902014819,0.5,0.039,0.0007518399506807,0.0006001009605824,0.0004203593416605,False
"and yes and there we have students from dcps and their teachers submit their art work, and my teacher from my high school, mr",0.01665985,0.0026762902683377,0.42,0.0,0.0006194306188262,0.000886728754267,0.0005000183591619,False
mary,0.010967735,0.0895019811766461,0.5,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"he submitted five of my pieces, so one of 'em was a um, a live auction piece, and the other four were um, were on the wall and they were being um, bidded bidded on by, just like different government workers and people who were interested, and the highest one was the um",0.043375164,0.927988517675491,0.4673295454545454,0.0,0.0012708657886832,0.0007402000483125,0.0005947978934273,False
"live auction piece, and it sold for six hundred and fifty dollars, and the other one fell, i mean, not very close, but not too far under that range, and all the money that was collected that night goes back into dcps, um art programs for art supplies",0.021796638,0.9999940988510404,0.525094696969697,0.0,0.0006574054714292,0.0005219531012699,0.0004597101942636,False
"uh, the one that went for six hundred and fifty dollars was of my school building, uh, mission san josé high school, recently, um, they got they had the school rebuilt and we have some fantastic um architecture now and i took a picture from the inside of the school building of our cafeteria and it was facing outside in the outside",0.07451247,0.0009716033135607,0.444,0.0,0.000665386149194,0.0004458021139726,0.0003923175099771,False
"uh, we have a courtyard in the middle, our school and the way the windows curve it makes like a a cool picture",0.09924392,0.0023027892644867,0.4125,0.0,0.0007387769874185,0.0004678622353821,0.0004371643590275,False
"and i, t took that shot from the the cafeteria, and i named it window wave, and it sold",0.119872786,0.1228136690161187,0.5,0.0,0.0011080211261287,0.003448785515502,0.0088337128981947,False
i was the first person to actually take that picture,0.03221605,0.8661160437695967,0.4375,0.0,0.0008578904089517,0.0004331264353822,0.0004360482853371,False
i think because the school,0.014855034,0.0085746078686516,0.5,0.0,0.0007445346564054,0.0004818878660444,0.0003492126124911,False
"well, we were the first class class of twenty fifteen to graduate out of the new building and we went into the building half way through the school year",0.014091457,0.9899341002601632,0.4633838383838384,0.0,0.0011073965579271,0.0003444403700996,0.000372582435375,False
"so yeah and yes, high school for me, i mean, i went to the same school for nine years",0.037881445,0.0469870640854047,0.5254166666666666,0.0,0.0007243230938911,0.0004681926220655,0.000415019923821,False
"i mean not nine years since ninth grade, but for four years, and when i first got there, of course, um, mission san josé high school high school is in ward eight, so a lot of people pass judgement on it",0.0358213,0.0892945170457966,0.4678125,0.0,0.000602385145612,0.0003699530498124,0.000624080596026,False
"i mean back, maybe two thousand and four",0.028954152,0.8656889853683694,0.578125,0.0,0.0007538016652688,0.0007872577407397,0.0007400230970233,False
it was not the best school and it still isn't the best school,0.14463188,0.9995193245938312,0.0,0.38,0.0018697343766689,0.0032929026056081,0.0007254155352711,False
"um, mainly because it's like the neighborhood kids are the ones that are majorily like um, the majority in school",0.025520578,0.1223198799455949,0.4166666666666667,0.0,0.0038171112537384,0.0006016581319272,0.0006587328971363,False
"so they come from broken homes, and some have like behavior issues, and it's not any type of um",0.08050597,0.9971811582393688,0.7,0.137,0.0030710396822541,0.0008751928107813,0.0010595471831038,False
standardized tests to get in the school or anything like that,0.024662184,0.9641285248784692,0.5,0.0,0.0015061371959745,0.0004254814411979,0.0005805436521768,False
"so when people get kicked out of some schools, they come to our school, or at least that's how it used to be, and they come to our school and they get into fights and things like that, and a lot of violent things did happen, and now it, the school has changed from me from the time i came and graduated",0.17034957,0.9877511222018271,0.775,0.097,0.0165597144514322,0.0009764243150129,0.0014103618450462,False
i think it got better and better every year,0.02655065,0.0064264406284211,0.25,0.0,0.0006119112949818,0.0003679553919937,0.0003789011389017,False
"in my opinion, in my four years, the biggest change i seen was the um automotive program",0.016521018,0.1314318500149674,0.5,0.0,0.0007431831909343,0.0003528808883856,0.0004071508301422,False
"i been in a part of the automotive program when i was in high school for all four years, and your freshman year you can't be a automotive student because they say you're too, um, like playful, childish juvenile to be around cars and things of that nature",0.20302857,0.9778624655572586,0.5483333333333333,0.042,0.1046225130558013,0.0059795589186251,0.0987115874886512,False
"but i did their summer internship, um, ninth grade summer, and the summer internship with applying for and going through it, you get class credits for if you take the class during the school year, so my first time ever taking a class was during the summer time, and then when i went tenth grade year, i took the class and then eleventh grade",0.02792408,0.8734518276096759,0.375,0.0,0.000694258196745,0.0003492474206723,0.0003280943783465,False
i mean tenth grade summer,0.021518974,0.1575925672704158,0.65625,0.0,0.0020164416637271,0.000452333537396,0.0004973739269189,False
i did the summer time,0.02124131,0.0548480501828938,0.5,0.0,0.000844036519993,0.0003294515481684,0.0003524506755638,False
"i did the summer time internship again and i got credits for it, but it actually started off as um",0.024147147,0.2385568078575169,0.5,0.0,0.0006023076130077,0.0003433752572163,0.0003697899519465,False
it was a lawnmower like maintenance type of class and they taught you,0.13431281,0.0220615646008313,0.5,0.0,0.0069646104238927,0.0006658270140178,0.0101943742483854,False
"yeah, it",0.024147147,0.0021776431812462,0.5,0.0,0.000956455245614,0.0004842119233217,0.0006776564987376,False
it just taught you how to,0.03599298,0.1867617975591179,0.5,0.0,0.0072802295908331,0.0004425480146892,0.0009862267179414,False
um,0.012811388,0.2300521494666851,0.5,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"well, way back in the day they just taught you how to fix lawnmowers in the class and like work hands on, do hands on work",0.10515087,0.0423782965516904,0.5,0.0,0.0019941707141697,0.000737577851396,0.000906582979951,False
"and i thought wow, some guy had uh, the idea that it should be automotive shop for the students to uh, work on cars, and that's what they created uh, through the help of um, darcars and toyota",0.01492445,0.0045337514128483,0.45,0.0,0.0005587118212133,0.0014510086039081,0.0007394753047265,False
and they invested a lot of money into the program and made a internship and paid students,0.023117077,0.2221968260878947,0.5,0.0,0.0006740128737874,0.0004979700315743,0.0004243875155225,False
"i mean more than um, minimum wage and more than summer jobs pay students",0.010412407,0.0077266604492002,0.3854166666666667,0.097,0.0010270091006532,0.0004953583702445,0.0004335155244916,False
i'm pay their workers their summer workers,0.022213135,0.7859438387057434,0.5,0.189,0.0170521326363086,0.0041366070508956,0.0075192092917859,False
so you get the experience and you get paid a l,0.0789077,0.0117283845384174,0.5,0.0,0.0584297068417072,0.0030588635709136,0.0009371985215693,False
"nice amount of money, and you learning, and if you really interested in it, you can get a internship and possibly work for darcars after you finish high school in school",0.0813051,0.0083838040522891,0.37375,0.0,0.0006883236346766,0.0008305110386572,0.0006131518748588,False
"uh, maybe, uh, like a brawl, just like a lot of kids fighting at the same time",0.20669603,0.9901450216297972,0.5,0.116,0.002131130779162,0.0006848677294328,0.0056856810115277,False
"i mean, yeah, it was just fists and this was um",0.2712817,0.1809160240275711,0.65625,0.0,0.0028452342376112,0.0010766694322228,0.0132202645763754,False
possibly ninth,0.023117077,0.0236442646733261,0.5,0.0,0.0011298055760562,0.0004322363529354,0.0004555672931019,False
"well, not ninth, because i didn't see too many fights in the ninth grade",0.06652113,0.9989627091495348,0.25,0.161,0.0007041398203,0.0003829092311207,0.0005693712155334,False
unintelligible,0.14866976,0.9999495719997992,0.5,0.0,0.0021733131725341,0.0023062287364155,0.0158948563039302,False
"i was on the fourth floor, so a lot of people that fought were upperclassmen and they were on like the first and second, maybe even um third floor",0.08635602,0.0691356557314998,0.46875,0.072,0.0057927528396248,0.0008713382412679,0.0005904604913666,False
"like um, tenth graders will get into fights sometimes",0.13017663,0.9501458120261124,0.5,0.221,0.1122277304530143,0.0007511739386245,0.0012288450961932,False
"but my senior year, uh, twenty fifteen, walking through the hallway, going to class",0.028954152,0.9848004881144304,0.5,0.0,0.001160756801255,0.0005896087968721,0.0008451346657238,False
i think it was my first period class,0.02655065,0.0102635286224202,0.375,0.0,0.0013696749228984,0.000470622035209,0.0003495605196803,False
i was walking past the bathroom and i seen these two guys,0.09655894,0.9844291925904936,0.625,0.0,0.0019595238845795,0.002997760195285,0.0017551756463944,False
they were like in a um,0.13879937,0.9957976964537194,0.5,0.0,0.0052236258052289,0.0017187962075695,0.0070932242088019,False
just getting into a altercation,0.036508016,0.9773109167560085,0.5,0.0,0.0026114014908671,0.0004025849921163,0.0035263760946691,False
they were arguing and i'm not sure what it was about,0.04131502,0.999692782608706,0.625,0.355,0.0009433698141947,0.0006039231666363,0.0007154171471484,False
"maybe like, uh, neighborhood related",0.02517722,0.2323066864071027,0.5,0.0,0.0006175033631734,0.0004123762773815,0.0003076858702115,False
"so a guy was, uh, was telling the other one to, um, the other student to step into the bathroom",0.11407687,0.9962138764742888,0.5625,0.0,0.011510475538671,0.0046635884791612,0.0049993065185844,False
"he wanted to, i guess fight, but he didn't want to do it in front of everybody",0.14956708,0.9991371208854536,0.5,0.173,0.0156475696712732,0.0007684496813453,0.0022066789679229,False
"he was telling him to step into the bathroom, and this, of course, made the other guy really angry, cause he wanted to like",0.22952124,0.9980624858953598,0.65625,0.128,0.0220793858170509,0.0045744068920612,0.0035448893904685,False
"like, why do you want me to step into the bathroom? so um, after awhile of just talking and arguing, uh, one of the guy's friends or family member that went to the school, he just hit the other kid and they, of course they started fighting, and during the time of them fighting one of them the guys pulled out um, a razor blade",0.3123962,0.9999635797776328,0.5625,0.108,0.0081955073401331,0.0090116309002041,0.006999846547842,False
it was,0.020130653,0.77262411099787,0.5,0.0,0.0022854036651551,0.0005957576213404,0.0006663513486273,False
"it was like, i'm not sure what type of uh razor it was, but when he pulled it out, um, the blade came out and it fell on the floor, but had that not happened, someone possibly could have got stabbed and i mean, of course security was rushing to the fight, but not in time",0.19141254,0.9999943372813014,0.59375,0.135,0.0062879384495317,0.0028966609388589,0.0278888791799545,False
"i don't think they would have got there in time if that razor blade had not fal fell out of um, his hand, or just uh, just a thing that he had in his hand",0.112144895,0.9970314538392456,0.5,0.0,0.0019783962052315,0.0021022523287683,0.0029917391948401,False
"yeah, and most of the time it's at school",0.027065687,0.0045853417605714,0.25,0.0,0.0007621069089509,0.0005505384178832,0.0005786168039776,False
"i mean, uh, my neighborhood",0.033761155,0.0316996906486578,0.65625,0.0,0.0006840325077064,0.0005022421828471,0.0008471999317407,False
"i mean, i wasn't really born",0.035306264,0.9999316301226592,0.528125,0.0,0.0010139051591977,0.0020276042632758,0.0008244903292506,False
"i was born in a neighborhood, but my neighborhood got torn down",0.0801064,0.998377392662571,0.5777777777777778,0.185,0.0007369740633293,0.0005207961658015,0.0006108053494244,False
"uh, maybe like six years, seven years prior to me being born",0.033761155,0.9954365640196576,0.5,0.0,0.0008350743446499,0.0006423949380405,0.0010079661151394,False
so just growing up in that neighborhood like being from somewhere,0.05653196,0.8585155129284636,0.5,0.0,0.0012088300427421,0.000518771004863,0.000868562143296,False
it's something that i couldn't like hold on to because my neighborhood was torn down and they made um condos,0.08501353,0.0006097555887159,0.5777777777777778,0.186,0.0015900506405159,0.0006420414429157,0.0018201820785179,False
they turned 'em into uh condominiums,0.0186035,0.995781214961928,0.5,0.0,0.7391692399978638,0.0024060064461082,0.0011069398606196,False
"so i moved and when i moved i moved into another neighborhood parkland, not too far from where i was born and raised and there, i didn't really relate with a lot of neighborhood kids, cause i used to like to and still do uh to this today, like to skateboard and things of that nature",0.046122026,0.97588465673851,0.425,0.0,0.0010552828898653,0.000507558172103,0.0003944016934838,False
"so i didn't have too many things in common with my, um, just just the the kids in my neighborhood, the young males in my neighborhood, so i used to always go up the street to um, find people to hang outside and play with, and i found a group of kids to skateboard with and ride my bike, and things of that nature",0.046122026,0.0012769132627667,0.4625,0.0,0.0012927189236506,0.0009205464739352,0.0010777987772598,False
"so that kept that that that kept me out of, like just being in the mix or getting down with my neighborhood",0.08796701,0.0002759532233208,0.5777777777777778,0.0,0.0017762832576408,0.0005853446200489,0.001346752862446,False
"i mean, the neighborhood that i moved to just didn't getting down with those type of individuals that was from there, so that th th me moving kept me out of a lot of trouble, and me skateboarding kept me out of a lot of trouble",0.09602194,0.0040501254321995,0.6085069444444444,0.109,0.0010130589362233,0.0008556491229683,0.0007427619420923,False
"yeah, some people from my neighbor neighborhood that i moved to",0.039254878,0.0091640372776175,0.5,0.0,0.0006492206593975,0.0010058325715363,0.0010208581807091,False
some people didn't like it,0.044748597,0.996778121686937,0.5,0.345,0.001215188880451,0.0005949830519966,0.0005192100652493,False
"i mean, i would never be down there as often, so when i go out to skateboard it was always",0.03856816,0.0393350919154616,0.6170138888888889,0.0,0.0007245927117764,0.0006546257645823,0.0007529368740506,False
uh,0.0253489,0.8297652642158977,0.5,0.0,0.0012679392239078,0.0013462513452395,0.0007708244374953,False
"either, what, i had, one neighborhood friend that skateboarded with me and he knew a lot of people in the neighborhood, so i, i think he kind of kept me safe, but once i got old enough to just go outside and go up the street and wander off, i started going up the street up the hill to a m, um",0.064523295,0.9913205424240752,0.38,0.0,0.0010143109830096,0.0006249266443774,0.0005128908669576,False
"another neighborhood where a lot of my friends, uh, well, people that became my friends had same or common interests just as me",0.06412373,0.9626076080473552,0.575,0.0,0.000588112801779,0.000505341682583,0.0004135856870561,False
"so uh, this was henter, henson ridge, and they call it h and r, and between henson ridge and um, fifteenth place, one five, and that's up the street from um",0.027752401,0.9842073928402016,0.5,0.0,0.0009777611121535,0.000533350103069,0.0004763521719723,False
"parkland, where i was, uh, where i moved to",0.025692256,0.0048421907592299,0.5,0.0,0.0007344671757891,0.0007952417363412,0.0009547345107421,False
"yes, my parents, uh, my mom is from",0.0358213,0.0150880159347712,0.5,0.0,0.0016195031348615,0.0017085699364542,0.0069919563829898,False
"she's from greensboro, north carolina, and my father's from he",0.0471521,0.0143581809058609,0.5,0.0,0.0008757797768339,0.000920666672755,0.0031236056238412,False
"he's from here, also southeast washington, dc",0.0825038,0.0136838703239802,0.5,0.0,0.000702659075614,0.0004252292274031,0.0004972430760972,False
um,0.012811388,0.2300521494666851,0.5,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
my mom,0.040628307,0.005778834235772,0.5,0.0,0.0866037160158157,0.0049818726256489,0.0017347446409985,False
