text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, okay, yes, i stayed on uh church street with my grandmother mary",0.03187269,0.9991979170703064,0.25,0.0,0.0035409601405262,0.0015591342234984,0.0007001283811405,False
"no, after the flood in ninety nine, uh, grandma didn't wanna go back to princeville said she needed a change",0.03994159,0.9955351442223144,0.5,0.0,0.0008716766606085,0.0014552590437233,0.0009413720108568,False
"she felt that by her being that old that she didn't want to start over again in the same place where she was raised, so we moved to rocky mount, which is about fifteen miles away",0.04406188,0.2102031065101985,0.475,0.034,0.0008938644896261,0.0007516465266235,0.0005369400023482,False
the neighborhood over there around the corner from my uncle's house,0.04680874,0.1753954675116024,0.5,0.0,0.0007564873085357,0.001234715571627,0.0004768389626406,False
"mmhm, yes, mmhm, most of 'em yes, princeville was basically like your last name didn't matter because everybody was family",0.0765103,0.9611552390689412,0.375,0.043,0.0049663223326206,0.0008426804561167,0.0005278208991512,False
like,0.022351967,0.0032249045423247,0.5,0.0,0.001461298437789,0.0012561561306938,0.0005801010993309,False
"if you did something in the streets and somebody else's family saw it, it's like they had permission to punish you and then you would get punished again when you got home, so it's basically like everybody knew each other if if we ate anything, they ate, so it's like basically we did everything together and nothing was separated and it's a whole lot different now because you don't see those people anymore",0.0753116,0.8170637487369183,0.4875,0.078,0.0055059492588043,0.0014033226761966,0.0006986170774325,False
everybody moved away,0.06012806,0.9867667196241904,0.5,0.0,0.0017468035221099,0.0049847429618239,0.0008735416340641,False
"it's a lot of people came back, but it's twice as many that didn't come back and didn't wanna come back",0.039598234,0.9979870278906312,0.4375,0.0,0.0009951427346095,0.0007148181321099,0.0005605876212939,False
"um, most people just came across the bridge to tarboro",0.03049926,0.9943627957995642,0.25,0.0,0.0006710594170726,0.0005152649246156,0.0005151404766365,False
"a lot of 'em moved to rocky mount and greenville, raleigh, greensboro, just moved anywhere but there because they didn't",0.04406188,0.1899722792699611,0.5,0.0,0.0008637782302685,0.0005069900653325,0.0003975148429162,False
"i mean after the flood and everything it, it still doesn't feel the same",0.035134587,0.999816864338324,0.578125,0.0,0.0006719476659782,0.0004066172987222,0.0011218206491321,False
my mother moved back,0.030670939,0.0405169469043694,0.5,0.0,0.008202051743865,0.0152248824015259,0.0012802320998162,False
it doesn't feel the same cause you don't see those same people anymore,0.0334178,0.9996920912459126,0.5,0.0,0.0011417341884225,0.0010542123345658,0.001869392581284,False
it's a whole bunch of new people,0.089577995,0.0005879179347161,0.4159090909090909,0.0,0.0009102152544073,0.0004469691193662,0.0015873822849243,False
mary,0.010967735,0.0893964630733049,0.5,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"mmhm, she",0.033246122,0.9966442714962338,0.5,0.0,0.0360618904232978,0.001220473786816,0.0011441147653385,False
"yeah, she did",0.02792408,0.0036865888300361,0.5,0.0,0.0017294669523835,0.0004121581732761,0.0007158973021432,False
"she was really pressed that and was just like, can we just please move somewhere else and the land that she has my grandfather willed to her, and so she wasn't gonna give her land up that easily",0.08850401,0.9225839893409322,0.3416666666666667,0.0,0.0007025586091913,0.0006629153504036,0.0007709189085289,False
she didn't care what kind of land they called it or what people thought of princeville,0.08170467,0.9999676293410514,0.2,0.149,0.0338631868362426,0.001174729433842,0.0011751384008675,False
that was her home and that she wanted to go back,0.027752401,0.0102960752811567,0.5,0.0,0.0039567509666085,0.0032270518131554,0.0006543713388964,False
so she did,0.031529333,0.9352754933842838,0.5,0.0,0.0024740360677242,0.0004206583835184,0.0006384818116202,False
mary,0.010967735,0.0893964630733049,0.5,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"mmhm, i know a lot about my grandfather, but i do not know a lot about his family there",0.045778666,0.9998429754775864,0.5,0.0,0.0006527406512759,0.0004421242629177,0.0005486063309945,False
"they are a lot of mary, and i'm not sure if we are related",0.047495455,0.0032967995970061,0.5625,0.131,0.0042855171486735,0.0004246412718202,0.000542145979125,False
"i know some of his family, but so yeah, this may not be the same, mary",0.017284594,0.1019942531647833,0.5,0.0,0.0008171958033926,0.0004014261066913,0.0004271248471923,False
it was like she was almost hysterical,0.27045983,0.8932529829592029,1.0,0.0,0.1848269551992416,0.0331834554672241,0.009773856960237,False
"anytime we said anything about not going back, it was like getting your head chopped off",0.27690583,0.999978181102808,0.5,0.0,0.6430762410163879,0.7863476872444153,0.5695504546165466,False
"she was like you don't wanna do what, but she was",0.08555053,0.0240404007284888,0.5,0.0,0.0133149521425366,0.0144396871328353,0.017718605697155,False
she was pressed on getting back and she did all she could,0.05773066,0.0043021082658447,0.5,0.0,0.0012933987891301,0.0007683416479267,0.0009118315065279,False
"i mean, we didn't have our hand in the cookie jar or anything about that house and neither did my father, because she just hustled",0.15976663,0.9961267880616056,0.65625,0.099,0.0009508078801445,0.0052044629119336,0.0222909245640039,False
basically did,0.015549194,0.9947823028474854,0.5,0.0,0.0023048336151987,0.0016136665362864,0.0007192128105089,False
"she did everything as far as the furnishings, and um, picking out what house she wanted and we had nothing to do with that",0.028610796,0.005387210907064,0.45,0.0,0.0008866724674589,0.0004054655437357,0.0006396298413164,False
