text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, mmhm, mmhm, right, okay, um, they told me about um, how they would have to work in the fields, and my mom also told me once that they had to",0.07850813,0.9997304785227252,0.1294642857142857,0.0,0.0017812134465202,0.0006221700459718,0.0011285652872174,False
they,0.02054715,0.0578570982159043,0.3749999999999999,0.0,0.0147170908749103,0.0010553121101111,0.0013982686214148,False
w,0.022351967,0.1932420687513239,0.3749999999999999,0.0,0.0012372832279652,0.0044690929353237,0.0005613963585346,False
there was a um,0.038911518,0.9216574208187108,0.3749999999999999,0.0,0.0008894954225979,0.0008272281847894,0.0007995577179826,False
"some people that was co, were coming down from the city and pick up young kids to go to new york places",0.06532243,0.047872995778779,0.3581649831649831,0.0,0.0015363554703071,0.0006711779860779,0.0008605090552009,False
"they would uh, designate a place for them to work and they would send them off and bring 'em home a certain time, but she didn't wanna leave us cause she had a lot of kids and she didn't wanna separate herself",0.045091953,0.9987621214593364,0.2410714285714285,0.0,0.0029231535736471,0.0015679029747843,0.0004371781251393,False
"so a lot of people like will, um, tell them about, um, a lot of the young girls and stuff they were picked",0.0813051,0.0034755717349943,0.3125,0.0,0.0006794251385144,0.0037184588145464,0.0028400737792253,False
"they raised, you know, the the white kids and stuff",0.28683078,0.0055083582370104,0.3749999999999999,0.0,0.0285524763166904,0.093735933303833,0.0548301301896572,False
"so they were housekeepers and babysitters, and um, that's all i, really",0.028954152,0.1090271178144303,0.25,0.0,0.0101141575723886,0.0005427583819255,0.0020163129083812,False
that's all she,0.029469188,0.0939161139672416,0.3749999999999999,0.0,0.0052614863961935,0.0008704751380719,0.0022128294222056,False
i remember,0.019297661,0.9134369114001591,0.3749999999999999,0.0,0.0007539399666711,0.0003622262447606,0.0003046432102564,False
"and it was also the main thing was what was? um, kind of always stuck in my mind",0.03444787,0.9983325091742856,0.1354166666666666,0.105,0.0006450102082453,0.0018863918958231,0.0010175775969401,False
they always talked about having kids at home,0.058130227,0.0031509771115169,0.3749999999999999,0.0,0.0007372967666015,0.0004376767901703,0.0003302811528556,False
"they had midwives, they never been to a hospital",0.08689302,0.0069407371202189,0.3749999999999999,0.0,0.0035983060952275,0.0053277788683772,0.0016895175212994,False
they had midwives that come in to deliver the baby and all that stuff,0.14283726,0.0530063676126247,0.3749999999999999,0.0,0.0094737131148576,0.0077031152322888,0.0027024997398257,False
"so the the midwives come from the community, but see, my mom was a was a tight person",0.27045983,0.2463178517859085,0.4866071428571428,0.0,0.0164678748697042,0.0054670805111527,0.0152736082673072,False
"my mom and my grandmama was real negative people, very negative people",0.31661135,0.9972614900413916,0.6375,0.435,0.110335849225521,0.0135438786819577,0.1118132770061492,False
you know,0.043718524,0.0414224901673412,0.3749999999999999,0.0,0.0024898352567106,0.000538251013495,0.0007277476252056,False
"so it? yes, yeah, yeah, that one",0.028267438,0.2460116844522813,0.3749999999999999,0.0,0.0008091250201687,0.0004556860949378,0.0007968313293531,False
that's one thing i hate,0.34388447,0.9999079530036123,0.8749999999999999,0.481,0.2111624181270599,0.1550017744302749,0.0426813140511512,False
so they was real negative so they didn't never really have anything to say it,0.11085691,0.99926469746326,0.5468749999999999,0.209,0.0006786834564991,0.0004347017675172,0.0006214239401742,False
"it would always be like you young kids are blessed cause we had this so and so and so, but it wasn't nothing too",0.07091636,0.9627640827431828,0.3125,0.0,0.0007477956241928,0.0004229051992297,0.0007226938032545,False
nothing positive about it,0.0729142,0.9998395811983916,0.2329545454545454,0.494,0.0006676748744212,0.0004453384899534,0.0004387271474115,False
we always heard a negative,0.08635602,0.9994362382375448,0.5625,0.481,0.0006271007587201,0.0004239202826283,0.0005609163199551,False
"exactly no, no negative",0.014646785,0.1469123734063077,0.2812499999999999,0.0,0.0007949069258756,0.0004853405989706,0.0004038327024318,False
it was always negative,0.123736724,0.9997910082935924,0.5625,0.552,0.0007246303139254,0.0005830500158481,0.0006703923572786,False
always negative,0.1464265,0.9995522884189314,0.5625,0.787,0.0012710533337667,0.0006316875806078,0.000842336914502,False
"but princeville, i like the closeness of princeville, because each family there, everybody knew everybody",0.048868883,0.0077083023230073,0.3749999999999999,0.0,0.0005916291265748,0.0004038251645397,0.0003378318797331,False
so we could go to the store,0.025863936,0.996157104990468,0.3749999999999999,0.0,0.0012427298352122,0.0005665667704306,0.0008771735592745,False
leave the door open,0.055732824,0.9292303809594692,0.3749999999999999,0.286,0.0260524991899728,0.002147021703422,0.0111683690920472,False
we couldn't,0.018048171,0.9993702220243924,0.3749999999999999,0.0,0.0010716471588239,0.0004994464688934,0.000377491058316,False
"we didn't have to worry about people stealing as much, you know, because everybody pretty much knew everybody",0.21627559,0.0,0.2395833333333333,0.152,0.000963527127169,0.0084810405969619,0.0027548829093575,False
um respected each other's space,0.021796638,0.0205885604815855,0.4531249999999999,0.0,0.0006597350002266,0.0004235656233504,0.0003722558030858,False
"um could say something to to another person, child, and now you can't do that, you know",0.08420804,0.1767627342710856,0.3749999999999999,0.0,0.0395446754992008,0.0013701629359275,0.0012930619996041,False
they kind of disciplined them if the parent wasn't home so,0.02637897,0.9751927828475684,0.0,0.0,0.0008613252430222,0.0019528255797922,0.0007403648342005,False
