text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, okay, okay, okay, okay, okay, okay, okay, oh, okay, i was like",0.032559406,0.9987746936734184,0.25,0.0,0.0011645866325125,0.0009043365134857,0.0003393477236386,False
"oh, i grew up in um",0.04234509,0.0707042672467878,0.5,0.0,0.0009589366381987,0.0005680283065885,0.0004678707337006,False
"well, it's northeast rochester, and the area actually has been um knocked down, and um school has been put there",0.09763293,0.998371434336534,0.5388888888888889,0.0,0.0010438001481816,0.0004219244583509,0.0006373193464241,False
"so right where um like rdaddress2, rdaddress3, that area",0.049898956,0.2134636758116823,0.3571428571428571,0.0,0.0012540186289697,0.0005299508338794,0.000740772113204,False
"so yeah, we mission san josé high school",0.03358948,0.0019696819318059,0.42,0.0,0.0009149017278105,0.0004363664193078,0.0003467274655122,False
"uh, what is it, mission san josé high school, when i was eighteen, they tore all the houses down in that neighborhood and put mission san josé high school there right right, razed the whole neighborhood",0.23716165,0.9993652465559776,0.422010582010582,0.0,0.0033130962401628,0.0008895212667994,0.0538333728909492,False
"it was uh, a inner city working class neighborhood",0.022074303,0.9880736870749272,0.5,0.0,0.0013471960555762,0.0004501076764427,0.0005113614606671,False
all the neighbors on my street owned houses,0.017006932,0.0055802687262995,0.5,0.0,0.0017416791524738,0.0006146573578007,0.0007028522668406,False
the the n,0.06012806,0.7938591024394954,0.5,0.0,0.0240584351122379,0.0050520538352429,0.0004548194119706,False
the woman who owned the corner store was our next door neighbor,0.10892494,0.0012793126767985,0.5,0.0,0.0015077033312991,0.0043383636511862,0.0098732952028512,False
my grandmother had lived there for decades,0.01631277,0.0023887378280803,0.5,0.0,0.0010947947157546,0.0004294587415643,0.0010319945868104,False
it was her first home in the city after moving from um rdaddress3 houses,0.012703137,0.0094255387446384,0.375,0.0,0.000957629235927,0.00048915395746,0.0008428354631178,False
"and so we had a very, very closeknit neighborhood",0.065721996,0.0177221897846332,0.37,0.0,0.0041520344093441,0.0003364260483067,0.0003824096347671,False
"there was like a rdaddress1 street area where i still have those same friends today, and it was one of those old school neighborhoods people talk about where d every person on the street had the right to discipline you, and i wasn't a bad child, so they never had to discipline me",0.09279997,0.8337564128815279,0.5392857142857143,0.0,0.0044355671852827,0.0009801039705052,0.0009541396866552,False
"what? like everybody? we all you know, fictive kinship",0.17449278,0.1125995444033833,0.5,0.0,0.003424814203754,0.0004463533987291,0.0011192082893103,False
"so we're all cousins, and um, it just i've really a lot of fond memories about",0.033246122,0.0033729230877445,0.4,0.0,0.0005591257358901,0.0003708039876073,0.0006685541593469,False
"you know, we had crime, of course, and we had you know drug usage and um, but everyone in the neighborhood really stuck together and it was a a code that people you know in this particular area, so there was not like",0.119228795,0.999853270826646,0.4083333333333333,0.164,0.0009379198309034,0.0006317995721474,0.0011545956367626,False
"oh, it's somebody robbing a house in the neighborhood that they lived in",0.1609341,0.9996986135687675,0.5,0.0,0.0016756918048486,0.0176826808601617,0.0159492995589971,False
"you know, an outsider would maybe have come in, or maybe a relative who was on drugs may have taken something, but it was really uh, a place where people know worked at rochester products and kodak and they owned um houses in in this in that area, but they owned other houses in the city and um, yeah, so it was a really really good neighborhood",0.08689302,0.0115736323830659,0.403125,0.0,0.000633749354165,0.0004971087910234,0.0006336898077279,False
"well, i didn't go to the neighborhood schools",0.038053125,0.9966409957674164,0.5,0.0,0.0006806649616919,0.0005465975846163,0.0003589391126297,False
"i went to my grandmother raised me, and she uh, worked at google school and the google hel high school for a while, so she put me in uh, mission san josé high school day care, and um, so i went to uh mission san josé high school school, cause that was one of the three schools that they uh transport to mission san josé high school, fortysix and twentyeight, and then i went to",0.03753809,0.0099036082024081,0.42,0.0,0.0019689078908413,0.0006024549365974,0.0004068547859787,False
when i got to fourth grade,0.08850401,0.1845791900895367,0.5,0.0,0.0028508976101875,0.0004553488979581,0.0007022878271527,False
"they put me in the mission san josé high school program, so then i went to mission san josé high school school, and for elementary, so mission san josé high school and mission san josé high school, and then for seven through twelfth i went to mission san josé high school",0.025692256,0.2459310000324872,0.4083333333333333,0.0,0.0009854222880676,0.0003698536020237,0.0002324336091987,False
"okay, well, you know, the class of of of of nineteen ninety was probably the best last graduat no g, graduating class a, you know from mission san josé high school, but it was really like i",0.06412373,0.0234678455072647,0.314,0.037,0.0010735066607594,0.0005700504989363,0.0004906800459139,False
s,0.0495556,0.1787004856100795,0.5,0.0,0.0025115853641182,0.0020734022837132,0.0005548478220589,False
"we all, many of us went to that high school from seventh to twelfth grade, and i believe when we got to ninth grade there was um, sort of uh, a reorganization of the city, prop, uh, the city schools and mission san josé high school was threatened to be closed down as a high school, but they ended up making, i think charlotte became the middle school and then we stayed the high school",0.03736641,0.9871226149803244,0.4447222222222222,0.026,0.000726917583961,0.0004277370462659,0.0003250866720918,False
so i had the same classmates pretty much from seven through twelfth grade and again,0.043718524,0.9938366892080588,0.425,0.0,0.0006711518508382,0.0003763904096558,0.0004838530148845,False
"just really, um, i'm still in contact with you several people from that time and just i have very fond memories about my high school experience",0.029469188,0.0035496955287689,0.43,0.0,0.0005475680227391,0.000400662276661,0.0003624571836553,False
"very, um",0.012811388,0.9409619091304412,0.4,0.0,0.0009867980843409,0.0004313242388889,0.0010739408899098,False
"just, it was a s",0.028267438,0.99749630494632,0.5,0.0,0.0020617505069822,0.0181587897241115,0.1224577873945236,False
very special time in my life and i was a able to interact with a lot of de different people,0.089577995,0.0019366283764028,0.3392857142857143,0.0,0.0005842897808179,0.0008801087969914,0.0004926468245685,False
i was a student aid and i was always a r,0.019852988,0.0332496115685655,0.5,0.0,0.005142530426383,0.0076167434453964,0.0010391793912276,False
"a really good writer, so i did activities around writing, but i had a s",0.047495455,0.1584208030553526,0.15,0.0,0.0006371065392158,0.0006410622736439,0.0008108508191071,False
some trauma at my home,0.03444787,0.9827316185422996,0.5,0.412,0.0008409033762291,0.0011538919061422,0.0019117230549454,False
"um, and so once i got to school i would",0.043718524,0.9918088282499709,0.5,0.0,0.0012156512821093,0.0008045756840147,0.0007117937784641,False
