text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, okay, yep, i consent",0.024490505,0.1908319633197701,0.0624999999999999,0.0,0.000762951967772,0.0004157933290116,0.0003986717201769,False
"um, i was born and raised in rochester, um, my mother emigrated here from tallahassee, florida, my father from hazlehurst, mississippi, uh, he came here for kodak",0.049898956,0.0678112676826231,0.3749999999999999,0.0,0.0006819576956331,0.0010837956797331,0.0005951729835942,False
she came here for the u,0.04165838,0.9133606790613712,0.3749999999999999,0.0,0.0014184868196025,0.0012388061732053,0.0004164486308582,False
of r,0.031185975,0.0279034499067117,0.3749999999999999,0.0,0.00088230491383,0.0040365341119468,0.0005064908182248,False
"they met in church, um, we, when i was born they, we were living in henrietta, and then by second grade we moved to pittsford",0.040284947,0.0210556820464952,0.3749999999999999,0.0,0.0006853973027318,0.0007804608321748,0.0006117917364463,False
"they're still in that same house in pittsford, so i did pittsford schools from second grade on um, and then went to u of r, and then after u of r, ended up in baltimore for eight years, and now i'm back",0.024147147,0.0003736956084447,0.3749999999999999,0.0,0.001110361656174,0.0005497437668964,0.0002965850289911,False
i am,0.019575324,0.0033700560254303,0.3749999999999999,0.0,0.0018637132598087,0.0003920896269846,0.0004725135804619,False
"yes, um, my, m",0.029812546,0.0111081600808503,0.3749999999999999,0.0,0.0009799546096473,0.0009239166975021,0.0007398820598609,False
m,0.02517722,0.1901839719157825,0.3749999999999999,0.0,0.0017175219254568,0.001225012470968,0.0005475403158925,False
"for my street, we were the first family living on our street",0.019575324,0.0116801784344371,0.2187499999999999,0.0,0.0010105242254212,0.0004203992139082,0.000405263446737,False
"um, and for a very long time, okay, dark blue, uh, for a very long time, we were the only african american family um around middle school was a second m",0.11021292,0.957985263851066,0.3612499999999999,0.0,0.0008125253370963,0.0174700859934091,0.0024029524065554,False
"african american family, but we, that was about it, um, the rest of the street was predominantly white",0.22982925,0.9642949612997932,0.3749999999999999,0.0,0.0030726473778486,0.0790872052311897,0.0841681063175201,False
"i think there was one um south asian family, um, my, m",0.06492286,0.9290755659433412,0.3749999999999999,0.0,0.0007120739901438,0.0017036467324942,0.0007354018162004,False
"one of my mother's best friends actually had a house in a development across the major thoroughfare, so, even though we were close to friends, you know, between our two neighborhoods, we were pretty much it",0.022773718,0.0003987020381372,0.1859374999999999,0.0,0.0006147027015686,0.0005311323911882,0.0003765143919736,False
"um, i think to put things in perspective, my graduating class was twoosix",0.030842619,0.9925940731304244,0.3749999999999999,0.0,0.0005566356121562,0.0011380743235349,0.0006625954410992,False
"i was one of six african americans and i was one of two that actually lived in pittsford, um",0.050242316,0.0076160524110922,0.3749999999999999,0.0,0.000698126561474,0.0107112918049097,0.0013922149082645,False
"the other four were urban suburban, so it was predominantly white",0.29163063,0.9252518473835242,0.3945312499999999,0.0,0.0017945630243048,0.0450795590877532,0.0313360914587974,False
"uh, and it was just one of those things where kid didn't really notice until either a he went to go hang out with uh, family, or b",0.023117077,0.9992168129284492,0.25,0.0,0.002911826595664,0.0010758194839581,0.0005706789088435,False
"as i got older and older and older and closer to high school and closer to graduation, you started to realize that maybe this isn't the norm",0.03444787,0.9922984965353576,0.2718749999999999,0.0,0.0008331488934345,0.0003903684264514,0.0004899617633782,False
"so and then became blatantly obvious with you know, after going to some courses in college, yeah, yeah, it's okay",0.04406188,0.9999520734935096,0.2187499999999999,0.0,0.0007788835209794,0.0004532593884505,0.0013786986237391,False
"um, my fam",0.038852096,0.0079314195536152,0.3749999999999999,0.0,0.0524339787662029,0.0007508615381084,0.0005227592191658,False
my extended family's quite massive,0.04131502,0.0081818713160782,0.3749999999999999,0.0,0.0009537861915305,0.0005041951080784,0.00842169765383,False
"my mother is one of eleven, my father's one of thirteen",0.027752401,0.0022458992808371,0.3749999999999999,0.0,0.004569430835545,0.0024658404290676,0.0009051782544702,False
"um, the most of my father's family lives in gary, indiana, if not mississippi, um, so there's a lot of midwest and then southern influence upon their speech",0.055732824,0.0248730223274631,0.2187499999999999,0.0,0.0005725048249587,0.0004210360930301,0.0004017368191853,False
"my mother's family's predominantly in florida, but then she has half her family's in florida",0.019436494,0.0033325910884535,0.4791666666666667,0.0,0.0007370986859314,0.0010066551622003,0.0004608441668096,False
"the other half is actually, uh, grew up near katy street and then out in gates",0.03444787,0.9513480089979036,0.4049479166666666,0.0,0.0011332213180139,0.0004267341573722,0.0006590509437955,False
so m,0.030670939,0.9976651624757747,0.3749999999999999,0.0,0.0037307438906282,0.0009249520953744,0.0004973398172296,False
we're not too far from my grandfather's house,0.04131502,0.2348089143659733,0.3125,0.0,0.0020381798967719,0.0009636690374463,0.0008993234368972,False
"um, so seeing them was always birthdays",0.03736641,0.0012681150943131,0.3749999999999999,0.0,0.0008198380237445,0.000760423077736,0.0014344402588903,False
holidays,0.019158829,0.0095662260716559,0.3749999999999999,0.0,0.0007268445333465,0.0006335986545309,0.0004375341522973,False
"that type of thing, but day to day interaction",0.035477944,0.1598362403730089,0.3749999999999999,0.0,0.0006701396778225,0.0004174587957095,0.0004160466778557,False
"no, but yeah, so there's a rather extensive cause",0.022213135,0.9571348664112712,0.3749999999999999,0.0,0.000698244664818,0.0003878170391544,0.0004077868943568,False
i think mom's the second oldest and dad's the second youngest,0.03444787,0.000822827776546,0.3749999999999999,0.0,0.0160467866808176,0.0011902403784915,0.0144715951755642,False
"so my oldest first cousin's sixtyfour and my youngest first cousin's i think turning ten this year, so no excuse me, he'll be seventyfour cause i know there's a sixty year sixty four year gap between the two",0.04680874,0.0926803855496695,0.29296875,0.039,0.0007199153187684,0.0004053587035741,0.0004293676465749,False
"yeah, mmhm, you wanna play something different? okay, i'll get you out of this here",0.23189566,0.9977068597286232,0.2187499999999999,0.0,0.0701172649860382,0.0059722429141402,0.0023794951848685,False
pick something that doesn't have a lock on it,0.040628307,0.9999781230996492,0.3749999999999999,0.0,0.0067104678601026,0.0007538979407399,0.0005726197268813,False
"so i, if you see these locks, you can't open it",0.092262976,0.9989490742420034,0.3749999999999999,0.0,0.0007992484606802,0.0006762535776942,0.0010806445498019,False
"but if you, you can do the matching game, so you keep hitting on them until you get two that stick",0.18450552,0.195682286723842,0.6249999999999999,0.0,0.0100187575444579,0.0179239325225353,0.2357046753168106,False
"okay so you were asking? um, in terms of i've lost my train of thought with her",0.05093802,0.9941636960230328,0.0624999999999999,0.12,0.0007211613119579,0.000945164647419,0.0020819313358515,False
"yeah, yeah, and nine times out of ten, i was the only african american student or participant, so i did boy scouts",0.10763696,0.0333591435056409,0.3749999999999999,0.0,0.001400941167958,0.0226030349731445,0.0093187959864735,False
a,0.021380141,0.0275770548988892,0.3749999999999999,0.0,0.0010865016374737,0.0008991816430352,0.0005542637663893,False
"i can't think of another african american, although one of my best friends was puerto rican, and of course he was the only puerto rican",0.28923595,0.127545190329182,0.2187499999999999,0.0,0.0013816421851515,0.0849547013640403,0.0068561825901269,False
"so the n \ yeah, um, no, i did sports in middle school and then i focused mostly on academics",0.028782474,0.999746478318278,0.2187499999999999,0.0,0.0011848858557641,0.0004191844782326,0.0095244962722063,False
"by the time i got to high school, so i was in a lot of clubs, um, model un, um, students against drunk driving, student government, art club, drama club, th, um, so just a lot of different clubs and then at u of r, i, p did uh, three years of rugby",0.0669207,0.1306326647575743,0.4458333333333332,0.044,0.0013896584277972,0.001153809018433,0.0004592956101987,False
"yeah, bless you, uh, history, secondary, um, e, european history, post eighteenfifty was my major",0.056931525,0.0040233825318196,0.4244791666666666,0.0,0.001412957208231,0.0005927802994847,0.0006176140741445,False
"yeah, um, originally i was a psych major and i, though i was gonna become a lawyer, and so i figured um, psychology polisci, or history, and then i went for the legal certificate and one, there was a logic class that was like eight o'clock in the morning and i was a senior and i was like i'm not prepped to do this yet, and so because i wasn't used to getting up, i mean, i could do the work, but i wasn't getting the attendance grade and that was like half the grade, so i was like alright, i gotta drop this course because i can't make up those points",0.17661177,0.999885757276506,0.3552083333333333,0.022,0.0007760119042359,0.0008178724092431,0.000303967797663,False
so i dropped the course and that was one course keeping from the legal certificate,0.03221605,0.9702192795638664,0.25,0.0,0.0011324513470754,0.000469351070933,0.000436006928794,False
"but and then i was offered the opportunity for um, the the extended warrant program and for the free masters, and i was like i don't know what i'm doing with my life",0.0334178,0.9296497600649464,0.1249999999999999,0.0,0.0006707470165565,0.0004967804998159,0.0004508885904215,False
"this seems like something interesting and then i did that and i loved it and i was like, yeah, let's let's let's move forward",0.047495455,0.0270635140364308,0.0,0.0,0.0006083382177166,0.0003679629298858,0.0003569299879018,False
"so yeah, yeah, but i find that my experience, especially as a student of color was different than others",0.10515087,0.9720341085316604,0.3749999999999999,0.0,0.000640079320874,0.0173775535076856,0.0037586209364235,False
"um, i walked in for move in day",0.032387726,0.0387182985756379,0.3749999999999999,0.0,0.0007291502552106,0.0005624418263323,0.0004962168168276,False
"i did the eco program, so i knew fifty kids through the eco program and then there was something like",0.020824814,0.0070387287601451,0.3749999999999999,0.0,0.0005982812144793,0.0003460732405073,0.0003386246098671,False
