text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, huh, uh, psh, no, you",0.03461955,0.9999468899062924,0.5,0.0,0.0125957923009991,0.0438333265483379,0.0059952274896204,False
you moved,0.09655894,0.0004987341796296,0.5,0.0,0.0096957217901945,0.0388935022056102,0.0036879475228488,False
"you moved to valdosta before i did remember, i went to aunt sue house",0.023803791,0.1994529600740847,0.5,0.0,0.007702371571213,0.0006353544304147,0.0005757484468631,False
"uhhuh, oh, i loved going to church",0.06931809,0.0025049962828895,0.15,0.0,0.0074278665706515,0.0072005991823971,0.0006820370326749,False
i used to love to sing in the choir,0.04234509,0.0119019958427492,0.25,0.0,0.0010724263265728,0.0012567394878715,0.0005612547975033,False
"yeah, i had a lot of fun at church",0.048868883,0.0038373085831156,0.35,0.0,0.0008471882320009,0.00107700843364,0.0005741258501075,False
you know people were,0.019714156,0.0030582115238531,0.5,0.0,0.0010732848895713,0.0004628009628504,0.0006984915817156,False
really,0.016451603,0.0654789636343088,0.4,0.0,0.0014107627794146,0.0003701640234794,0.0006866139592602,False
i don't know what it was,0.019575324,0.9997729260359388,0.5,0.0,0.0009282641694881,0.0006889720098115,0.0005379402427934,False
it,0.017770508,0.1409490326690856,0.5,0.0,0.0016468944959342,0.0009156857267953,0.0006150004337541,False
just it was just like they was just good people and they always i w,0.0358213,0.0242092020300811,0.15,0.0,0.0007999257650226,0.0020620948635041,0.0021680551581084,False
"like a like a real family, like another family",0.018881164,0.0009606310552063,0.4,0.0,0.0012833970831707,0.0004296812694519,0.0007710510981269,False
"you know, and um, you used to love to go to church all the time, cause you had these various ladies that used to watch over you",0.1943727,0.0157923549122842,0.375,0.0,0.0622104182839393,0.0103365192189812,0.0049349027685821,False
it's just you had your own,0.038224805,0.8353944738798479,0.2,0.0,0.0899207815527916,0.002160670235753,0.0017545776208862,False
you had your own special babysitters,0.17380224,0.00245936690384,0.2607142857142857,0.0,0.226384624838829,0.0008955746889114,0.0026215207763016,False
"oh man, that was something",0.040628307,0.9422289442023328,0.5,0.0,0.0009654642781242,0.0023343707434833,0.0049153733998537,False
"and um, the people at church were just",0.04165838,0.9713715434329696,0.5,0.0,0.0007994594052433,0.0022647122386842,0.0059425421059131,False
they were just great people,0.042001735,0.01360426077664,0.0999999999999999,0.0,0.0006484894547611,0.0003336809459142,0.0039354558102786,False
"you know, i had a lot of fun",0.036679696,0.0053925819445232,0.35,0.0,0.0007678706315346,0.000401623226935,0.0007209301111288,False
"you know what i'm saying, you got to go to church conventions and and sh, stuff, so stuff like that, um, i used to love musical time when they, when, when they used to put on them big musicals",0.16275369,0.7578214895241383,0.4166666666666667,0.0,0.0009158755419775,0.0313843563199043,0.1534498035907745,False
the church would be so packed you can't even hardly ge,0.1580154,0.9694267066401088,0.6458333333333334,0.0,0.0441799610853195,0.0215809494256973,0.1443960815668106,False
find a seat,0.045091953,0.1832733366109394,0.5,0.0,0.0212366450577974,0.001341163762845,0.0073107569478452,False
you have to get there early,0.024833864,0.1749937948813076,0.45,0.0,0.0026692778337746,0.0009054621332325,0.0005758126499131,False
"yeah, yes, i heard i heard",0.026035614,0.0065946821238696,0.5,0.0,0.0006910845986567,0.0004103025712538,0.0004485396202653,False
i heard y'all was trying to go and then mama,0.058929358,0.016365359772901,0.5,0.0,0.0096236076205968,0.0042711296118795,0.003754060016945,False
"yeah, mama say she wasn't feeling well, so yeah, she said she wasn't gonna push it",0.11021292,0.9977108715110066,0.5,0.16,0.0010672066127881,0.0007918404880911,0.0028798182029277,False
"mmhm, yeah, lynn, donna, ms",0.01665985,0.0033857833756704,0.5,0.0,0.0010224895086139,0.000462155760033,0.0009140805341303,False
"piggy, mmhm, oh, man, she was a",0.30337667,0.9897725815058136,0.5,0.0,0.5502293705940247,0.1341281831264495,0.0111580360680818,False
"you know what mary was? yeah, she was matter of fact, she was ms",0.04543531,0.0283021066646193,0.5,0.0,0.0040680044330656,0.0011563535081222,0.0035078562796115,False
"teen oklahoma, at one point, you know she was in the running for ms",0.052136723,0.8558332169004306,0.5,0.0,0.0008427173597738,0.0007343030301854,0.0012387784663587,False
"teen oklahoma, yup, beautiful, very beautiful",0.060927194,0.0010832432468519,0.1916666666666666,0.0,0.0007210647454485,0.0003732897748704,0.0065251388587057,False
"yeah, she went to spelman, yes, she did and she married a doctor",0.07690986,0.0169410469614827,0.375,0.0,0.001669795368798,0.000722667959053,0.0011117598041892,False
not surprised,0.027752401,0.9971828999565582,0.525,0.625,0.0009353795903734,0.0004714558599516,0.0005507079767994,False
"neither, nope, um, you know what? the last time i actually got a chance to see mary was when she was at spelman and i drove up and we kicked it and she wrote me a few letters after that, but then um, i, t",0.16344422,0.9999389621369738,0.5333333333333333,0.0,0.0021573049016296,0.0304104462265968,0.0147562837228178,False
"oh, you know i, no, no, i take that back",0.06332459,0.9458420101675729,0.5,0.0,0.0012160202022641,0.0010595264611765,0.0022621147800236,False
"um, the last time i actually did talk to her was uh, right before she got she got married",0.049898956,0.9969369304821656,0.4330357142857143,0.0,0.0008893720805644,0.0007742052548564,0.0043203555978834,False
"uhhuh, and um, so, um, just so happen",0.03427619,0.9979175001752454,0.5,0.0,0.0037796986289322,0.0005813423194922,0.0011785272508859,False
i don't even know,0.025863936,0.914961769077551,0.5,0.0,0.0011431805323809,0.0014713541604578,0.0004643225984182,False
i just called they old phone number cause i was like man,0.06332459,0.2449667009845693,0.45,0.0,0.0015264700632542,0.0021558427251875,0.0070422929711639,False
