group,bad_word,count,freq,score,normalized_score
White Man,black,120,0.0003271644655768455,0.3488202,0.00011412157431540837
Black Man,black,112,0.000836001821289682,0.3488202,0.00029161432250263114
White Woman,black,92,0.0003827257561953732,0.3488202,0.00013350247482122132
Black Woman,black,137,0.0016177408308339042,0.3488202,0.0005643006801596487
White Man,dead,47,0.00012813941568426448,0.4414813,5.657115581752947e-05
Black Man,dead,27,0.0002015361533466198,0.4414813,8.897444297646506e-05
White Woman,dead,41,0.00017056256526098152,0.4414813,7.530018304275297e-05
Black Woman,dead,17,0.00020074156295019248,0.4414813,8.862364617528282e-05
White Man,kill,22,5.9980152022421674e-05,0.8060606,4.834763732728443e-05
Black Man,kill,43,0.00032096498495943153,0.8060606,0.00025871722835539037
White Woman,kill,15,6.240093851011519e-05,0.8060606,5.0298937936026554e-05
Black Woman,kill,16,0.00018893323571782822,0.8060606,0.00015229163734265406
White Man,killed,17,4.634829929005311e-05,0.6640081,3.077564614981952e-05
Black Man,killed,24,0.0001791432474192176,0.6640081,0.00011895256734666457
White Woman,killed,16,6.65610010774562e-05,0.6640081,4.419704385953964e-05
Black Woman,killed,8,9.446661785891411e-05,0.6640081,6.272659943792362e-05
White Man,crash,11,2.9990076011210837e-05,0.18648382,5.59266393666096e-06
White Man,color,60,0.00016358223278842274,0.049290497,8.063049554511054e-06
Black Man,color,4,2.9857207903202933e-05,0.049290497,1.4716766165812005e-06
White Woman,color,33,0.00013728206472225343,0.049290497,6.766701199346039e-06
Black Woman,color,21,0.0002479748718796495,0.049290497,1.2222804678459249e-05
White Man,kid,61,0.00016630860333489644,0.08326523,1.3847724107658918e-05
Black Man,kid,36,0.0002687148711288264,0.08326523,2.2374605548962088e-05
White Woman,kid,37,0.00015392231499161747,0.08326523,1.2816376959909477e-05
Black Woman,kid,22,0.0002597831991120138,0.08326523,2.1630907824197622e-05
White Man,fight,49,0.0001335921567772119,0.12698962,1.6964817224118566e-05
Black Man,fight,63,0.0004702510244754462,0.12698962,5.971699890274761e-05
White Woman,fight,29,0.00012064181445288937,0.12698962,1.5320258173482927e-05
Black Woman,fight,13,0.00015350825402073542,0.12698962,1.9493954844956664e-05
White Man,ass,17,4.634829929005311e-05,0.93232936,4.3211880214183676e-05
Black Man,ass,7,5.225011383060513e-05,0.93232936,4.8714315187615226e-05
White Woman,ass,12,4.9920750808092154e-05,0.93232936,4.654258165162804e-05
Black Woman,ass,2,2.3616654464728527e-05,0.93232936,2.201850034244149e-05
White Man,hell,28,7.633837530126394e-05,0.48366728,3.692237434158151e-05
Black Man,hell,29,0.00021646475729822126,0.48366728,0.00010469692037829082
White Woman,hell,12,4.9920750808092154e-05,0.48366728,2.414503375890773e-05
Black Woman,hell,8,9.446661785891411e-05,0.48366728,4.569041211062041e-05
White Man,damn,32,8.72438574871588e-05,0.77973837,6.80273832295495e-05
Black Man,damn,9,6.71787177822066e-05,0.77973837,5.2381823902187786e-05
White Woman,damn,13,5.4080813375433166e-05,0.77973837,4.2168885269634454e-05
Black Woman,damn,12,0.00014169992678837116,0.77973837,0.00011048886994308387
White Man,sob,1,2.7263705464737124e-06,0.13298494,3.6256622354057384e-07
White Woman,sob,1,4.1600625673410125e-06,0.13298494,5.532256709140905e-07
White Man,dumb,11,2.9990076011210837e-05,0.8454821,2.535607244511816e-05
Black Man,dumb,3,2.23929059274022e-05,0.8454821,1.893280112860246e-05
White Woman,dumb,6,2.4960375404046077e-05,0.8454821,2.1103550613401225e-05
Black Woman,dumb,5,5.9041636161821314e-05,0.8454821,4.991864652953263e-05
White Man,goddamn,6,1.6358223278842275e-05,0.8785311,1.4371207891206911e-05
White Woman,goddamn,3,1.2480187702023038e-05,0.8785311,1.0964233030064772e-05
Black Woman,goddamn,1,1.1808327232364264e-05,0.8785311,1.0373982712608932e-05
White Man,desire,8,2.18109643717897e-05,0.0674341,1.4708027525437037e-06
White Woman,desire,5,2.0800312836705065e-05,0.0674341,1.402650375861653e-06
Black Woman,desire,1,1.1808327232364264e-05,0.0674341,7.962839194199749e-07
White Man,screw,7,1.9084593825315986e-05,0.4354821,8.310998996695638e-06
Black Woman,screw,1,1.1808327232364264e-05,0.4354821,5.142315140637177e-06
White Man,communist,1,2.7263705464737124e-06,0.21035178,5.734968973903181e-07
White Woman,communist,1,4.1600625673410125e-06,0.21035178,8.750765659515518e-07
White Man,angry,12,3.271644655768455e-05,0.12147249,3.974148227313871e-06
Black Man,angry,2,1.4928603951601466e-05,0.12147249,1.8134146942248697e-06
White Woman,angry,14,5.824087594277418e-05,0.12147249,7.074664220549877e-06
Black Woman,angry,9,0.00010627494509127837,0.12147249,1.290948220485086e-05
White Man,fear,40,0.0001090548218589485,0.14279796,1.5572806089621254e-05
Black Man,fear,17,0.00012689313358861247,0.14279796,1.812008061446134e-05
White Woman,fear,22,9.152137648150228e-05,0.14279796,1.3069065857950505e-05
Black Woman,fear,14,0.00016531658125309968,0.14279796,2.3606870557116877e-05
White Man,stupid,13,3.544281710415826e-05,0.9147037,3.241967594359685e-05
Black Man,stupid,4,2.9857207903202933e-05,0.9147037,2.7310498540728964e-05
White Woman,stupid,15,6.240093851011519e-05,0.9147037,5.707836933867485e-05
Black Woman,stupid,5,5.9041636161821314e-05,0.9147037,5.4005603051271756e-05
White Man,lies,10,2.7263705464737124e-05,0.19547667,5.329418356107615e-06
Black Man,lies,1,7.464301975800733e-06,0.19547667,1.4590968941039478e-06
White Woman,lies,6,2.4960375404046077e-05,0.19547667,4.879171065932832e-06
Black Woman,lies,6,7.084996339418558e-05,0.19547667,1.3849514913917293e-05
White Man,shitty,2,5.452741092947425e-06,0.94992846,5.179713949202264e-06
Black Man,shitty,1,7.464301975800733e-06,0.94992846,7.090552880847348e-06
White Woman,shitty,9,3.744056310606911e-05,0.94992846,3.556585645288105e-05
White Man,die,38,0.00010360208076600107,0.7093121,7.348620947250182e-05
Black Man,die,12,8.95716237096088e-05,0.7093121,6.35342365138724e-05
White Woman,die,28,0.00011648175188554835,0.7093121,8.262191604161727e-05
Black Woman,die,4,4.7233308929457055e-05,0.7093121,3.3503157546701936e-05
White Man,blind,6,1.6358223278842275e-05,0.07991642,1.3072906420057364e-06
Black Man,blind,2,1.4928603951601466e-05,0.07991642,1.1930405834098424e-06
White Woman,blind,11,4.576068824075114e-05,0.07991642,3.6570303809369294e-06
Black Woman,blind,3,3.542498169709279e-05,0.07991642,2.83103771579718e-06
White Man,drunk,3,8.179111639421138e-06,0.21236198,1.7369323423885188e-06
