group,word,categories,count
White Man,I,[],6615
White Man,saw,"['verb', 'percept', 'see', 'focuspast']",149
White Man,black,"['percept', 'see']",120
White Man,panther,[],19
White Man,and,"['function', 'conj']",12915
White Man,if,"['function', 'conj', 'cogproc', 'discrep', 'tentat', 'differ']",1231
White Man,looked,"['verb', 'percept', 'see', 'focuspast']",35
White Man,stoned,['leisure'],2
White Man,out,"['function', 'prep', 'relativ', 'space']",1334
White Man,of,"['function', 'prep']",9545
White Man,my,"['function', 'pronoun', 'ppron', 'i']",1198
White Man,mind,[],102
White Man,just,"['function', 'adverb']",2699
White Man,because,"['function', 'conj', 'cogproc', 'cause']",1327
White Man,I'm,[],904
White Man,dead,['death'],47
White Man,as,"['function', 'prep', 'conj', 'adj', 'compare']",2235
White Man,tired,"['adj', 'bio', 'health']",13
White Man,three,['number'],165
White Man,hours,"['relativ', 'time']",62
White Man,sleep,"['bio', 'body']",13
White Man,those,"['function', 'pronoun', 'ipron']",438
White Man,morning,"['relativ', 'time']",17
White Man,screenings,[],5
White Man,in,"['function', 'prep', 'relativ', 'space']",5775
White Man,Seattle,[],1
White Man,they,"['function', 'pronoun', 'ppron', 'they', 'social']",1706
White Man,kill,"['affect', 'negemo', 'anger', 'death']",22
White Man,me,"['function', 'pronoun', 'ppron', 'i']",1146
White Man,so,"['function', 'adverb', 'conj']",2715
White Man,Black,[],45
White Man,Panther,[],30
White Man,is,"['function', 'auxverb', 'verb', 'focuspresent']",5643
White Man,the,"['function', 'article']",16587
White Man,newest,"['adj', 'compare', 'relativ', 'time']",13
White Man,installment,[],7
White Man,Marvel,[],57
White Man,Cinematic,[],10
White Man,Universe,[],13
White Man,directed,[],177
White Man,by,"['function', 'prep']",980
White Man,Ryan,[],16
White Man,Coogler,[],2
White Man,when,"['function', 'adverb', 'conj', 'interrog', 'relativ', 'time']",913
White Man,look,"['verb', 'percept', 'see', 'focuspresent']",298
White Man,at,"['function', 'prep', 'relativ', 'space']",1287
White Man,his,"['function', 'pronoun', 'ppron', 'shehe', 'social', 'male']",1092
White Man,body,"['bio', 'body']",31
White Man,work,"['drives', 'achiev', 'focuspresent', 'work']",214
White Man,age,"['drives', 'power', 'relativ', 'time']",62
White Man,he's,"['function', 'pronoun', 'ppron', 'shehe', 'auxverb', 'verb', 'social', 'male', 'focuspresent']",587
White Man,younger,"['adj', 'compare', 'relativ', 'time']",35
White Man,than,"['function', 'prep', 'adj', 'compare', 'cogproc', 'differ']",360
White Man,him,"['function', 'pronoun', 'ppron', 'shehe', 'social', 'male']",522
White Man,like,"['function', 'prep', 'compare']",3200
White Man,I've,[],321
White Man,done,"['function', 'auxverb', 'verb', 'focuspast']",210
White Man,little,"['relativ', 'space']",686
White Man,different,"['adj', 'compare', 'cogproc', 'differ']",354
White Man,starts,"['verb', 'focuspresent', 'relativ', 'time']",69
White Man,shortly,"['function', 'adverb', 'relativ', 'space']",2
White Man,after,"['function', 'prep', 'adj', 'compare', 'relativ', 'time']",200
White Man,Captain,[],20
